id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_x_repair_stages_user,x_repair_stages.user,model_x_repair_stages,base.group_user,1,0,0,0
access_x_repair_stages_system,x_repair_stages.system,model_x_repair_stages,base.group_system,1,1,1,1
access_x_repair_reason_user,x_repair_reason.user,model_x_repair_reason,base.group_user,1,0,0,0
access_x_repair_reason_system,x_repair_reason.system,model_x_repair_reason,base.group_system,1,1,1,1
access_x_repair_reason_custom_user,x_repair_reason_custom.user,model_x_repair_reason_custom,base.group_user,1,0,0,0
access_x_repair_reason_custom_system,x_repair_reason_custom.system,model_x_repair_reason_custom,base.group_system,1,1,1,1
access_x_repair_sub_reason_user,x_repair_sub_reason.user,model_x_repair_sub_reason,base.group_user,1,0,0,0
access_x_repair_sub_reason_system,x_repair_sub_reason.system,model_x_repair_sub_reason,base.group_system,1,1,1,1
access_x_repair_accounts_user,x_repair_accounts.user,model_x_repair_accounts,base.group_user,1,0,0,0
access_x_repair_accounts_system,x_repair_accounts.system,model_x_repair_accounts,base.group_system,1,1,1,1
access_x_diagnosis_areas_user,x_diagnosis_areas.user,model_x_diagnosis_areas,base.group_user,1,0,0,0
access_x_diagnosis_areas_system,x_diagnosis_areas.system,model_x_diagnosis_areas,base.group_system,1,1,1,1
access_x_diagnosis_codes_user,x_diagnosis_codes.user,model_x_diagnosis_codes,base.group_user,1,0,0,0
access_x_diagnosis_codes_system,x_diagnosis_codes.system,model_x_diagnosis_codes,base.group_system,1,1,1,1
access_x_symptom_areas_user,x_symptom_areas.user,model_x_symptom_areas,base.group_user,1,0,0,0
access_x_symptom_areas_system,x_symptom_areas.system,model_x_symptom_areas,base.group_system,1,1,1,1
access_x_symptom_codes_user,x_symptom_codes.user,model_x_symptom_codes,base.group_user,1,0,0,0
access_x_symptom_codes_system,x_symptom_codes.system,model_x_symptom_codes,base.group_system,1,1,1,1
access_x_conditions_user,x_conditions.user,model_x_conditions,base.group_user,1,0,0,0
access_x_conditions_system,x_conditions.system,model_x_conditions,base.group_system,1,1,1,1
access_x_resolutions_user,x_resolutions.user,model_x_resolutions,base.group_user,1,0,0,0
access_x_resolutions_system,x_resolutions.system,model_x_resolutions,base.group_system,1,1,1,1
access_x_task_diagnosis_user,x_task_diagnosis.user,model_x_task_diagnosis,base.group_user,1,0,0,0
access_x_task_diagnosis_system,x_task_diagnosis.system,model_x_task_diagnosis,base.group_system,1,1,1,1
